Date,Open,High,Low,Close,Adj Close,Volume
2018-03-09,24879.000000,25346.000000,24841.000000,25335.000000,25335.000000,153047
2018-03-11,null,null,null,null,null,null
2018-03-12,25335.000000,25510.000000,25151.000000,25208.000000,25208.000000,116773
2018-03-13,25196.000000,25378.000000,24945.000000,25027.000000,25027.000000,102168
2018-03-14,24985.000000,25153.000000,24670.000000,24770.000000,24770.000000,83890
2018-03-15,24784.000000,25059.000000,24675.000000,24907.000000,24907.000000,60747
2018-03-16,24921.000000,24948.000000,24823.000000,24879.199219,24879.199219,173972
2018-03-18,null,null,null,null,null,null
2018-03-19,24976.000000,24984.000000,24461.000000,24691.000000,24691.000000,272836
2018-03-20,24671.000000,24813.000000,24608.000000,24765.000000,24765.000000,190952
2018-03-21,24769.000000,24998.000000,24660.000000,24727.000000,24727.000000,225022
2018-03-22,24732.000000,24803.000000,23932.000000,23963.000000,23963.000000,408367
2018-03-23,23999.000000,24103.000000,23496.000000,23612.000000,23612.000000,483124
2018-03-25,null,null,null,null,null,null
2018-03-26,23609.000000,24223.000000,23551.000000,24191.000000,24191.000000,321554
2018-03-27,24201.000000,24435.000000,23691.000000,23859.000000,23859.000000,380198
2018-03-28,23854.000000,24075.000000,23707.000000,23860.000000,23860.000000,492033
2018-03-29,23889.000000,24288.000000,23797.000000,24147.000000,24147.000000,300100
2018-04-01,null,null,null,null,null,null
2018-04-02,24097.000000,24147.000000,23306.000000,23552.000000,23552.000000,358651
2018-04-03,23609.000000,24010.000000,23545.000000,23984.000000,23984.000000,359073
2018-04-04,23981.000000,24282.000000,23361.000000,24265.000000,24265.000000,382535
2018-04-05,24250.000000,24596.000000,24234.000000,24468.000000,24468.000000,274168
2018-04-06,24483.000000,24506.000000,23700.000000,23926.000000,23926.000000,426617
2018-04-08,null,null,null,null,null,null
2018-04-09,23948.000000,24346.000000,23911.000000,24012.000000,24012.000000,271313
2018-04-10,24004.000000,24482.000000,23947.000000,24351.000000,24351.000000,358832
2018-04-11,24360.000000,24367.000000,24062.000000,24167.000000,24167.000000,242696
2018-04-12,24176.000000,24561.000000,24141.000000,24459.000000,24459.000000,231525
2018-04-13,24453.000000,24627.000000,24206.000000,24336.000000,24336.000000,276551
2018-04-15,null,null,null,null,null,null
2018-04-16,24444.000000,24644.000000,24381.000000,24563.000000,24563.000000,199910
2018-04-17,24560.000000,24827.000000,24550.000000,24707.000000,24707.000000,176912
2018-04-18,24699.000000,24809.000000,24673.000000,24733.000000,24733.000000,150510
2018-04-19,24742.000000,24781.000000,24514.000000,24637.000000,24637.000000,192290
2018-04-20,24633.000000,24665.000000,24338.000000,24433.000000,24433.000000,201071
2018-04-22,null,null,null,null,null,null
2018-04-23,24542.000000,24554.000000,24290.000000,24414.000000,24414.000000,174321
2018-04-24,24431.000000,24600.000000,23786.000000,23984.000000,23984.000000,342249
2018-04-25,23998.000000,24108.000000,23782.000000,24078.000000,24078.000000,284650
2018-04-26,24116.000000,24363.000000,24013.000000,24316.000000,24316.000000,204755
2018-04-27,24311.000000,24317.000000,24147.000000,24283.000000,24283.000000,173850
2018-04-29,null,null,null,null,null,null
2018-04-30,24279.000000,24458.000000,24099.000000,24131.000000,24131.000000,186410
2018-05-01,24106.000000,24188.000000,23753.000000,24071.000000,24071.000000,215013
2018-05-02,24092.000000,24136.000000,23797.000000,23825.000000,23825.000000,211176
2018-05-03,23820.000000,23940.000000,23467.000000,23910.000000,23910.000000,329134
2018-05-04,23904.000000,24280.000000,23721.000000,24228.000000,24228.000000,233196
2018-05-06,null,null,null,null,null,null
2018-05-07,24226.000000,24425.000000,24204.000000,24301.000000,24301.000000,172201
2018-05-08,24284.000000,24355.000000,24135.000000,24307.000000,24307.000000,219324
